day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost,estimatedRevenue,estimatedAdRevenue,grossRevenue,estimatedRedPartnerRevenue,monetizedPlaybacks,playbackBasedCpm,adImpressions,cpm
2023-01-01,558,70,3,18,0,12,7,0,1067,83,114,10.61,0,0,0,0,0,0,0,0,0.0103,5,97,0,1,3,4,1.314,0.566,1.028,0.028,176,5.841,237,4.338
2023-01-02,617,97,2,6,3,9,4,1,1530,200,148,12.79,0,0,0,0,0,0,0,0,0,0,147,0,0,4,5,0.829,0.692,1.259,0.057,153,8.229,259,4.861
2023-01-03,562,93,0,11,1,8,6,0,1404,219,149,14.44,0,0,0,0,0,0,0,0,0,0,118,0,0,1,0,2.017,1.959,3.562,0.058,156,22.833,321,11.097
2023-01-04,516,60,0,8,0,6,4,0,1192,135,138,11.54,0,0,0,0,0,0,0,0,0,0,179,0,0,3,1,0.84,0.803,1.461,0.036,141,10.362,262,5.576
2023-01-05,522,58,0,7,1,7,5,1,1140,169,131,9.83,0,0,0,0,0,0,0,0,0.011399999999999999,9,176,0,2,1,2,1.042,0.991,1.802,0.051,171,10.538,312,5.776
2023-01-06,485,77,0,4,0,7,2,0,997,156,123,10.48,0,0,0,0,0,0,0,0.16670000000000001,0.0353,6,85,1,3,2,1,1.587,1.548,2.815,0.038,137,20.547,221,12.738
2023-01-07,1375,201,3,25,1,112,12,4,4012,677,175,18.67,0,0,0,0,0,0,0,0.11109999999999999,0.013999999999999999,36,572,4,8,21,7,2.916,2.674,4.861,0.242,422,11.519,691,7.035
2023-01-08,742,113,2,19,1,41,6,1,2279,353,184,19.36,0,0,0,0,0,0,0,0.1852,0.0143,27,279,5,4,13,3,2.252,2.136,3.883,0.117,257,15.109,447,8.687
2023-01-09,640,83,1,11,0,9,15,2,1593,292,149,14.510000000000002,0,0,0,0,0,0,0,0.0667,0.0167,15,239,1,4,10,0,1.329,1.252,2.277,0.077,188,12.112,288,7.906
2023-01-10,610,71,0,14,0,12,6,4,1616,261,159,13.54,0,0,0,0,0,0,0,0,0.0096,6,209,0,2,8,1,1.383,1.333,2.424,0.05,188,12.894,353,6.867
2023-01-11,581,57,0,5,0,5,2,0,1196,104,123,11.61,0,0,0,0,0,0,0,1,0.0040999999999999995,1,241,1,1,5,1,1.328,1.294,2.353,0.033,178,13.219,349,6.742
2023-01-12,545,78,1,9,0,20,3,3,1131,190,124,11.32,0,0,0,0,0,0,0,0.25,0.005699999999999999,4,175,1,1,7,1,1.021,0.983,1.787,0.038,166,10.765,287,6.226
2023-01-13,534,64,0,5,0,8,4,0,1227,179,137,11.03,0,0,0,0,0,0,0,0,0,0,153,0,0,8,0,0.838,0.785,1.428,0.053,127,11.244,259,5.514
2023-01-14,693,82,4,27,1,44,4,2,1433,156,124,10.81,0,0,0,0,0,0,0,0,0,1,167,0,0,4,2,0.936,0.887,1.612,0.05,257,6.272,399,4.04
2023-01-15,525,61,0,13,0,11,8,4,1178,192,134,12.03,0,0,0,0,0,0,0,0.15380000000000002,0.0124,13,161,2,2,5,0,0.616,0.55,1,0.066,118,8.475,201,4.975
2023-01-16,647,80,0,12,0,6,4,1,1468,143,136,13.699999999999998,0,0,0,0,0,0,0,0,0.012,6,166,0,2,5,1,1.003,0.968,1.761,0.035,188,9.367,321,5.486
2023-01-17,522,72,0,7,0,5,4,3,1035,128,119,9.36,0,0,0,0,0,0,0,0.125,0.0129,8,155,1,2,5,0,1.385,1.342,2.441,0.042,142,17.19,277,8.812
2023-01-18,555,61,1,11,0,7,7,2,1603,281,173,15.950000000000001,0,0,0,0,0,0,0,0.047599999999999996,0.021099999999999997,21,237,1,5,5,2,1.349,1.268,2.305,0.08,161,14.317,357,6.457
2023-01-19,515,62,3,8,0,10,2,3,1155,206,134,12.32,0,0,0,0,0,0,0,0,0,0,147,0,0,4,1,1.571,1.491,2.712,0.08,157,17.274,290,9.352
2023-01-20,461,56,0,7,0,13,3,4,1019,136,132,12.6,0,0,0,0,0,0,0,0.22219999999999998,0.0242,9,124,2,3,4,0,0.786,0.748,1.359,0.038,113,12.027,210,6.471
